imdb_id,summary,actors,release_date
tt6988116,The lives of six enigmatic characters become entangled whilst in search of love  but separated by the dichotomy between the two worlds of Husnabad  a town in North India.,Varun Dhawan|Alia Bhatt|Aditya Roy Kapoor|Madhuri Dixit|Sonakshi Sinha|Sanjay Dutt|Kunal Khemu|Pawan Chopra|,17 April 2019 (USA)
tt5525846,Yeh Hai India  follows the story of a 25 years old NRI  who is born and brought up in UK. He shares the same stereotypical views about India that most NRIs have and how his perception changes.,Gavie Chahal|Mohan Agashe|Mohan Joshi|Lom Harsh|,24 May 2019 (India)
tt8484942,A group of intelligence officers embark on a top secret mission to track down a wanted international criminal.,Arjun Kapoor|Sudev Nair|Rajesh Sharma|Prasanth|Santilal Mukherjee|,24 May 2019 (USA)
tt8130558,A Crime Branch Special Officer Investigates the Serial disappearance of high profile individuals in a state capital.,Anupam Kher|Kumud Mishra|Esha Gupta|Zakir Hussain|Rajesh Sharma|Murli Sharma|Deepshika Nagpal|,5 July 2019 (India)
tt10324144,In the rural heartlands of India  an upright police officer sets out on a crusade against violent caste-based crimes and discrimination.,Ayushmann Khurrana|Nassar|Manoj Pahwa|Kumud Mishra|Isha Talwar|Sayani Gupta|Mohammed Zeeshan Ayyub|Subhrajyoti Barat|Sushil Pandey|Aakash Dabhade|Ashish Verma|Ronjini Chakraborty|Veen|Sumbul Touqueer|,28 June 2019 (USA)
tt8983202,Kabir Singh is a remake of a Telugu movie Arjun Reddy (2017)  where a short-tempered house surgeon gets used to drugs and drinks when his girlfriend is forced to marry another person.,Shahid Kapoor|Kiara Advani|Soham Majumdar|Arjan Bajwa|Suresh Oberoi|Kamini Kaushal|Adil Hussain|Nikita Dutta|Amit Sharma|Anurag Arora|Dolly Mattoo|Aanchal Chauhan|Suparna Marwah|Swati Seth|,20 June 2019 (USA)
tt8268972,A remake of an English movie Hush (2016)  where a deaf and mute girl must fight for her life when a killer appears at her door.,Prabhu Deva|Tamannaah Bhatia|Bhoomika Chawla|,14 June 2019 (India)
tt7485048,Based on life of Patna-based mathematician Anand Kumar who runs the famed Super 30 program for IIT aspirants in Patna.,Hrithik Roshan|Mrunal Thakur|Nandish Singh|Virendra Saxena|Sadhana Singh|Aditya Srivastava|Sanket Deshpande|Pankaj Tripathi|Vaibhav Gupta|Ali Haji|Rajesh Sharma|Deepali Kumar|Chittaranjan Giri|Ganesh Kumar|,12 July 2019 (USA)
tt8869978,After a deadly encounter  a police officer works to prove that the police acted lawfully.,John Abraham|Nora Fatehi|Mrunal Thakur|Rajesh Sharma|Ravi Kishan|Sonam Arora|Sahidur Rahaman|Manish Chaudhary|Anil Rastogi|Kranti Prakash Jha|Amruta Sant|Anil Khopkar|Aditi Gulati|Jitendra Trehan|,15 August 2019 (USA)
tt8897986,The film is based on small town of North India. Film's story is about confrontation of love and thoughts. Along with entertainment.,Jimmy Sheirgill|Mahie Gill|Nandish Singh|Pranati Rai Prakash|Saurabh Shukla|Sudhir Pandey|Supriya Pilgaonkar|Pavan Malhotra|Yashpal Sharma|Mukesh Tiwari|Raj Zutshi|Salil Acharya|Shivika Rishi|Lokesh Tilakdhari|,19 July 2019 (India)
tt6862542,It is about limerence of Dhruv (played by Bohra) resulting from an obsessive attraction to Ananya (played by Banerjee).,Karanvir Bohra|Priya Banerjee|,5 July 2019 (India)
tt8206760,Two boys go to Mauritius to study and love it so much there  that they are reluctant to return home. Rishi plays Omkar's dad who turns up from the village to surprise him and is in turn surprised by his son's lifestyle.,Rishi Kapoor|Jimmy Sheirgill|Sunny Singh Nijjar|Omkar Kapoor|Nimisha Mehta|Rucha Vaidya|Manoj Joshi|Lillete Dubey|Rajesh Sharma|Gurbachan Singh|Rakesh Bedi|Neelu Kohli|Shobha Singh|Sunny Leone|,19 July 2019 (India)
tt8108196,Following the story of two quirky individuals whose lives pivot between reality and illusions.,Kangana Ranaut|Rajkummar Rao|Amyra Dastur|Amrita Puri|Jimmy Sheirgill|,26 July 2019 (USA)
tt7881524,This spoof comedy narrates the story of a cop Arjun Patiala (Diljit Dosanjh) and his sidekick Onidda Singh (Varun Sharma). Together  will they be able to accomplish their mission of a crime-free town with their goofy style of policing?,Diljit Dosanjh|Kriti Sanon|Varun Sharma|Ronit Roy|Seema Bhargava|Mohammed Zeeshan Ayyub|Amit Mehra|,26 July 2019 (USA)
tt8785426,A thug helps kidnap grooms in order to avoid paying out dowries for their upcoming marriage.,Sidharth Malhotra|Parineeti Chopra|Javed Jaffrey|Sanjay Mishra|Aparshakti Khurana|,9 August 2019 (USA)
tt3797888,Set in Varanasi  the movie narrates a story of a man (played by Rahul Bagga)  who is victim of a plot of a wily narrator.,Pankaj Tripathi|Evelyn Sharma|Rahul Bagga|Anupriya Goenka|Zakir Hussain|Sadh Orhan|Rajesh Sharma|,14 June 2019 (India)
tt7189494,An ambitious and innocent girl falls prey to the power of money and politics.,Natalia Janoszek|Ashutosh Rana|Makrand Deshpande|Nivedita Bhattacharya|Mukesh Hariawala|Zakir Hussain|Aman Verma|,9 August 2019 (India)
tt8144834,A celebrated Bollywood director Rohan Khurana stands accused by a female member of his crew  Anjali Dangle of having raped her at his residence.,Akshaye Khanna|Richa Chadha|Meera Chopra|Rahul Bhat|Shriswara|Kishore Kadam|Kruttika Desai|Sandhya Mridul|Shrikant Yadav|Vibhawari Deshpande|Shama Nivane|Rajendra Shisatkar|Annuup Choudhari|Shahnaaz Deshpande|,13 September 2019 (USA)
tt7228072,A peon's son who is an aspiring IAS officer is compelled to change his path leading him to turn into a gangster.,Rajeev Khandelwal|Atul Kulkarni|Abhimanyu Singh|Sameksha|Vikram Gokhale|Aniruddh Dave|Apoorva Arora|S.M. Zaheer|,
tt6836936,"An undercover cop becomes embroiled in a battle with warring criminals who want to acquire a ""black box "" their ultimate key to a treasure.",Jacqueline Fernandez|Shraddha Kapoor|Prabhas|Jackie Shroff|Mandira Bedi|Neil Nitin Mukesh|Chunky Pandey|Arun Vijay|Mahesh Manjrekar|Evelyn Sharma|Tinnu Anand|Michael Segal|Philip Fornah|Vennela Kishore|,30 August 2019 (USA)
tt9248940,Rom-com Movie  directed by Raaj Shaandilyaa  stars Ayushmann Khurrana who plays a 'dream girl'. In every love story  there is always one trying to win the heart of the other  who could be the 'dream girl'.,Ayushmann Khurrana|Nushrat Bharucha|Annu Kapoor|Raj Bhansali|Manjot Singh|,13 September 2019 (USA)
tt8902990,It is based on the love story of a couple spanning 25 years  told through the lens of their spunky teenage daughter Aisha Chaudhary  who was diagnosed with a Pulmonary fibrosis .,Zaira Wasim|Priyanka Chopra|Farhan Akhtar|Rohit Saraf|,11 October 2019 (USA)
tt9248972,Based on true events of the Indian Space Research Organisation (ISRO) successfully launching the Mars Orbiter Mission (Mangalyaan)  making it the least expensive mission to Mars.,Akshay Kumar|Vidya Balan|Nithya Menon|Taapsee Pannu|Sonakshi Sinha|Kirti Kulhari|H.G. Dattatreya|Sharman Joshi|Sanjay Kapoor|Dalip Tahil|Vikram Gokhale|Mohammed Zeeshan Ayyub|Purab Kohli|,15 August 2019 (USA)
tt6978954,When video blogger Saher Sethi embarks on a tedious trek with mountaineer Karan Sehgal  sparks are bound to fly. But will their love story blossom despite the odds?,Karan Deol|Sahher Bambba|Simone Singh|Sachin Khedekar|,20 September 2019 (USA)
tt8304386,Based Anuja Chauhan's novel  Zoya Factor is a rom-com about Zoya  an advertising agent and her relationship with the captain of team India  Nikhil Khoda.,Sonam Kapoor|Dulquer Salmaan|Sanjay Kapoor|,20 September 2019 (USA)
tt9378950,The story of the film follows Karan Khanna  a politician of Indian origin in the United Kingdom  who is accused of killing his wife. He tells his lawyer that a spirit committed the murder and should be tried.,Sanaya Irani|Shivam Bhaargava|Vikram Bhatt|Ameet Chana|Ananya Sengupta|Caroline Wilde|Monisha Hassen|,18 October 2019 (India)
tt7721946,A set of three brothers are due to marry a set of three sisters  until one of the brothers starts to realize that they are all reincarnations from 600 years earlier and the wrong couples are about to get married.,Akshay Kumar|Riteish Deshmukh|Bobby Deol|Kriti Sanon|Pooja Hegde|Kriti Kharbanda|Rana Daggubati|Sammy John Heaney|Sharad Kelkar|Aakash Dabhade|Chunky Pandey|Ranjeet|Johnny Lever|Saurabh Sachdeva|,25 October 2019 (USA)
tt8108206,Both over the age of 60  Chandro Tomar and Prakashi Tomar inspire other women in India when they demonstrate their expert sharpshooting skills.,Taapsee Pannu|Bhumi Pednekar|Prakash Jha|Viineet Kumar|Pawan Chopra|,25 October 2019 (USA)
tt8706884,A rural politician marries a widow with kids and gains a respectable position and trusts his stepson more than his own in political matters; thus upsetting his son beyond limits.,Sanjay Dutt|Jackie Shroff|Ali Fazal|Manisha Koirala|Chunky Pandey|Satyajeet Dubey|Amyra Dastur|,20 September 2019 (USA)
tt9420648,It tells the story of a man who is balding prematurely and how he copes up with the situation.,Ayushmann Khurrana|Bhumi Pednekar|Yami Gautam|Javed Jaffrey|Saurabh Shukla|Sunita Rajwar|Seema Bhargava|Abhishek Banerjee|Deepika Chikhalia|Manoj Pahwa|Sachin Chaudhary|,7 November 2019 (USA)
tt10816510,High-school sweethearts Suraj Maali and Janvi Singh are well aware of their diverse socio-economic backgrounds and so  the young lovers opt for marriage by elopement. This  in turn  conjures up a storm the couple isn't prepared for.,Bhavesh Kumar|Jimmy Sheirgill|Kumud Mishra|Sanjay Mishra|Girish Kulkarni|Zakir Hussain|Brijendra Kala|Akhilendra Mishra|Asif Basra|Neha Joshi|,18 October 2019 (India)
tt7743400,A life-altering disappearance of her 7-year old brother sets Jhalki off on a mission to find him at all costs. Armed with an intimate folk-tale and her own sharp mind  is Jhalki's journey ...                    ,Boman Irani|Tannishtha Chatterjee|Divya Dutta|Sanjay Suri|Akhilendra Mishra|Govind Namdeo|Yatin Karyekar|Joy Sengupta|Sailesh Dubey|Bachan Pachehra|Sanchita Goswami|Goraksha Sakpal|Vikram Singh|Aarti Jha|,
tt9179426,The extraordinary journey of a soldier that brought a nation together. It stars Sooraj Pancholi and Megha Akash in the lead roles and is directed by Irfan Kamal.,Suraj Pancholi|Anil Reji|,8 November 2019 (India)
tt8983180,Story of Failed Gujarati Businessman  who jumps into unknown world of China to get once in a life time business idea  which will change his life.,Rajkummar Rao|Mouni Roy|Boman Irani|Paresh Rawal|Gajraj Rao|Sumeet Vyas|Amyra Dastur|,25 October 2019 (USA)
tt11046300,Ujda Chaman is about a 30 -year-old bachelor Chaman Kohli  a Hindi lecturer with Premature Balding and in quest of a beautiful wife. After facing several rejections as a prospective groom ...                    ,Sunny Singh Nijjar|Maanvi Gagroo|Saurabh Shukla|Atul Kumar|Grusha Kapoor|Gagan Arora|Karishma Sharma|,1 November 2019 (USA)
tt9176260,The Story revolves around a young man Vikram (Neil Nitin Mukesh) who is a fashion prodigy. The story is layered with a murder in town.,Neil Nitin Mukesh|Adah Sharma|Gul Panag|Taher Shabbir|Shama Sikander|Manish Chaudhary|Rajit Kapoor|,8 November 2019 (USA)
tt11007050,All set for an arranged marriage  Rohit Bajaj is faced with a rather strange request from his Muslim friend Sahil. As per halala  he convinces Rohit to get hitched to his ex-wife  just for ...                    ,Siddhanth Kapoor|Prateik|Anita Raj|Ishita Raj|Subha Rajput|Natasha Stankovic|,
tt8876008,Keep Safe Distance is an upcoming Indian thriller film directed by Rama Mehra and produced by vishnu dhanraj sharma and mahesh sharma under the rama dhanraj production,Shahbaaz Khan|Adi Irani|Vikas Anand|Kiran Kumar|Anil Nagrath|Sagarika Neha|Laxman Singh Rajput|Pradeep Kabra|Shilpa Gandhi|Jai Yadav|Abhishek Khanna|Vishnu Dhanraj Sharma|,
tt10443846,Add a Plot »,Vardhan Puri|Jessey Lever|,
tt8983168,Commando 3 is a Hindi movie starring Vidyut Jammwal  Adah Sharma  Angira Dhar and Gulshan Devaiah in prominent roles. It is an action drama thriller directed by Aditya Datt.,Vidyut Jammwal|Adah Sharma|Angira Dhar|Sumeet Thakur|Mark Bennington|Simran Kaur|Atharva Vishwakarma|Abhilash Chaudhary|Feryna Wazheir|,
tt8110330,A love story about two cancer patients.,Sushant Singh Rajput|Sanjana Sanghi|Sahil Vaid|,
tt5668770,Shivani Shivaji Roy locks horns with the devil incarnate  a young & remorseless serial killer who is raping & murdering young women.,Rani Mukerji|Rajesh Sharma|Shruti Bapna|,
tt7059844,Third installment of the Dabanng film series.,Salman Khan|Sonakshi Sinha|Sudeep|Mahesh Manjrekar|Ashwami Manjrekar|Nawab Shah|Arbaaz Khan|Abhilash Chaudhary|Saiee Manjrekar|Pramod Khanna|Rajiv Kachroo|Resh Lamba|Manjit Singh|,
tt8504014,It is an upcoming Indian romantic comedy film starring Akshay Kumar  Kiara Advani  Kareena Kapoor Khan and Diljit Dosanjh in lead roles.,Akshay Kumar|Kareena Kapoor|Kiara Advani|Tisca Chopra|Gulshan Grover|Diljit Dosanjh|Tanmay Dhanania|Anjana Sukhani|Yukta Mookhey|Auritra Ghosh|Preeti Kochar|,
tt6275262,In the misty town of Manali  ACP Ashwini Dixit attempts to solve a series of mysterious murders happening in a single night  which might be connected to the night club  Vodka Diaries.,Kay Kay Menon|Raima Sen|Mandira Bedi|Sharib Hashmi|Rishi Bhutani|Herry Tangiri|Vaishnavi Dhanraj|Swati Rajput|Antara Srivastava|Rahul Kapoor|Suraj Thapar|Vikram Sakhalkar|,19 January 2018 (India)
tt6102396,Unfolding through a course of a night in Mumbai  Kaalakaandi showcases three parallel tracks -- a man who discovers he has terminal illness decides to let go of his principles and live a ...                    ,Saif Ali Khan|,12 January 2018 (India)
tt4335954,After a wild night of impulse and passion  advertising executive Rajiv Kaul must navigate the murky lines between life  death  fact  and fiction.,Nora Fatehi|Elena Kazan|Suparna Krishna|Pitobash|Sameer Sharma|Zenia Starr|,19 January 2018 (India)
tt9680136,Chintu Tyagi is an ordinary  middle class man who finds himself torn between his wife and another woman.,Kartik Aaryan|Bhumi Pednekar|Ananya Panday|Aparshakti Khurana|,
tt7723022,Arbaaz Khan plays the role of the investigating officer in a murder case in which Manjari Fadnnis emerges as the prime suspect and is arrested. However  as events unfold  many possibilities and suspects come to the fore.,Ashmit Patel|Manjari Fadnnis|Manisha Kelkar|Akash Sinha|Geetanjali Mishra|Astad Kale|Rajkumar Kanojia|Shilpa Kadam|Feroz Bhagat|Dinesh Lamba|Salman Shaikh|Yusuf Hussain|Premnath Gulati|Himanshu Manek|,19 January 2018 (India)
tt7180544,A boxer struggles to make his mark in the boxing world.,Viineet Kumar|Jimmy Sheirgill|Zoya Hussain|Ravi Kishan|Rajesh Tailang|Shreedhar Dubey|Sadhana Singh|Shakti Kumar|Chittaranjan Tripathy|Sukhesh Mishra|Shikha Chauhan|Abhay Joshi|Nawazuddin Siddiqui|,12 January 2018 (USA)
tt6395306,Resigned to his fate as a worker in a notoriously shoddy chemical plant  Jay realizes that he must not only find a way to support his family  but also overcome grave social and legal injustice in the system.,Rahul Bhat|Tillotama Shome|,19 January 2018 (India)
tt7853242,Individually  Sanjay and Karina don't earn enough to be able to buy a home  so they enter into a marriage of convenience.,Vicky Kaushal|Angira Dhar|Alankrita Sahai|Raghuvir Yadav|Ratna Pathak Shah|Supriya Pathak|Brijendra Kala|Rekha Bhardwaj|Kunaal Roy Kapur|Arunoday Singh|Deepal Doshi|Raviza Chauhan|Ranbir Kapoor|Asif Ali Beg|,14 February 2018 (India)
tt6774212,After finding out about an illegal arms deal  a military intelligence officer goes rogue with highly sensitive data related to his organization  causing his mentor: a colonel  to hunt him down.,Sidharth Malhotra|Manoj Bajpayee|Rakul Preet Singh|Pooja Chopra|Adil Hussain|Kumud Mishra|Naseeruddin Shah|Anupam Kher|Vikram Gokhale|Juhi Babbar|Nivedita Bhattacharya|Rajesh Tailang|Lushin Dubey|Ajit Bhure|,16 February 2018 (USA)
tt7617988,In a world of pings  likes  tweets  shares and comments  2 strangers connect over a mis-dial and WhatsApp their way into each others' hearts  safely hidden behind digital screens. But will the emojis translate to emotions when they reveal their truth to one another.,Geetanjali Thapa|Zain Khan Durrani|Shray Rai Tiwari|Mona Ambegaonkar|Saheb Bhattacharjee|Chandrayee Ghosh|Saurav Das|Debopriya|Sahil Agarwal|Shefali Chauhan|Soumya Mukherjee|Shankhu Karmakar|Udai Shankar|Moumita|,16 February 2018 (India)
